id,center,x,y
0,1,22.231749,113.507182
1,1,22.232732,113.509748
2,0,22.233367,113.508105
3,0,22.232995,113.508105
4,0,22.232878,113.507499
5,0,22.232498,113.507126
6,0,22.231987,113.506928
7,0,22.231933,113.508101
8,0,22.232301,113.508213
9,0,22.232799,113.508482
10,0,22.232033,113.508617
11,0,22.231715,113.50824
12,0,22.231444,113.508496
13,0,22.231301,113.508258
14,0,22.231531,113.508999
15,0,22.232121,113.509098
16,0,22.231665,113.506681
17,0,22.231377,113.507364
18,0,22.231143,113.506672
19,0,22.231134,113.507764
20,0,22.231402,113.50912
21,0,22.232903,113.508864
22,0,22.232866,113.508689
23,0,22.232268,113.509201
24,0,22.231904,113.506645
25,0,22.232552,113.508703
26,0,22.232698,113.509197
27,0,22.232493,113.509601
28,0,22.232209,113.509462
29,0,22.232284,113.510095
30,0,22.233108,113.508887
31,0,22.233087,113.509233
32,0,22.232916,113.509471
33,0,22.232694,113.510216
34,0,22.233221,113.509956
35,0,22.233397,113.508698
36,0,22.231996,113.509273
37,0,22.23215,113.509659
38,0,22.231891,113.509637
39,0,22.231891,113.50917
40,0,22.231544,113.509592
41,0,22.231406,113.509331
42,0,22.231398,113.509138
43,0,22.231264,113.509039
44,0,22.231239,113.509201
45,0,22.231201,113.509713
46,0,22.231021,113.508932
47,0,22.231874,113.509848
48,0,22.230975,113.509313
49,0,22.23195,113.509399
